sk_agrunt_health, 6.0, 30.0, 60.0, 100.0, 150.0, 225.0, 300.0, 300.0
sk_agrunt_dmg_punch, 1.0, 5.0, 10.0, 20.0, 20.0, 100.0, 2000.0, 2000.0
sk_agrunt_melee_engage_distance, 128.0, 192.0, 224.0, 256.0, 256.0, 256.0, 256.0, 256.0
sk_agrunt_berserker_dmg_punch, 2.0, 10.0, 20.0, 30.0, 40.0, 200.0, 4000.0, 4000.0
sk_apache_health, 15.0, 75.0, 150.0, 300.0, 500.0, 750.0, 1000.0, 1000.0
sk_barnacle_health, 2.0, 15.0, 30.0, 40.0, 50.0, 75.0, 100.0, 100.0
sk_barnacle_bite, 8.0, 8.0, 8.0, 8.0, 10.0, 50.0, 1000.0, 1000.0
sk_barney_health, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 100.0
sk_bullsquid_health, 4.0, 20.0, 40.0, 80.0, 120.0, 180.0, 240.0, 240.0 
sk_bullsquid_dmg_bite, 1.5, 7.5, 15.0, 25.0, 25.0, 125.0, 2500.0, 2500.0
sk_bullsquid_dmg_whip, 2.5, 12.5, 25.0, 35.0, 45.0, 225.0, 4500.0, 4500.0
sk_bullsquid_dmg_spit, 1.0, 5.0, 10.0, 10.0, 15.0, 75.0, 1500.0, 1500.0
sk_bigmomma_health_factor, 0.1, 0.3, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0
sk_bigmomma_dmg_slash, 5.0, 25.0, 50.0, 60.0, 70.0, 350.0, 7000.0, 7000.0
sk_bigmomma_dmg_blast, 10.0, 50.0, 100.0, 120.0, 160.0, 240.0, 16000.0, 16000.0
sk_bigmomma_radius_blast, 100.0, 200.0, 250.0, 250.0, 275.0, 300.0, 500.0, 5000.0
sk_gargantua_health, 80.0, 400.0, 800.0, 800.0, 1000.0, 1500.0, 2000.0, 2500.0
sk_gargantua_dmg_slash, 1.0, 5.0, 10.0, 30.0, 50.0, 250.0, 5000.0, 5000.0
sk_gargantua_dmg_fire, 0.3, 1.5, 3.0, 4.0, 5.0, 25.0, 5000.0, 5000.0
sk_gargantua_dmg_stomp, 5.0, 25.0, 50.0, 100.0, 100.0, 500.0, 10000.0, 10000.0
sk_hassassin_health, 3.0, 15.0, 30.0, 50.0, 50.0, 75.0, 100.0, 100.0
sk_headcrab_health, 1.0, 5.0, 10.0, 10.0, 20.0, 30.0, 40.0, 50.0
sk_headcrab_dmg_bite, 0.5, 2.5, 5.0, 10.0, 10.0, 50.0, 2500.0, 2500.0
sk_hgrunt_health, 5.0, 25.0, 50.0, 50.0, 100.0, 150.0, 200.0, 200.0
sk_hgrunt_kick, 0.5, 2.5, 5.0, 10.0, 12.0, 60.0, 1200.0, 1200.0
sk_hgrunt_pellets, 1.0, 2.0, 3.0, 5.0, 7.0, 15.0, 50.0, 50.0
sk_hgrunt_gspeed, 100.0, 200.0, 400.0, 600.0, 800.0, 1200.0, 1600.0, 2000.0
sk_houndeye_health, 2.0, 10.0, 20.0, 30.0, 60.0, 90.0, 120.0 , 120.0
sk_houndeye_dmg_blast, 1.0, 5.0, 10.0, 13.0, 15.0, 75.0, 1500.0, 10000.0
sk_islave_health, 3.0, 15.0, 30.0, 60.0, 80.0, 120.0, 160.0, 160.0
sk_islave_dmg_claw, 0.8, 4.0, 8.0, 9.0, 10.0, 50.0, 1000.0, 1000.0
sk_islave_dmg_clawrake, 2.4, 12.0, 24.0, 25.0, 25.0, 125.0, 2500.0, 2500.0
sk_islave_dmg_zap, 1.0, 5.0, 10.0, 12.0, 15.0, 75.0, 1500.0, 1500.0
sk_ichthyosaur_health, 1.0, 5.0, 10.0, 50.0, 100.0, 250.0, 400.0, 500.0
sk_ichthyosaur_shake, 2.0, 10.0, 20.0, 35.0, 50.0, 250.0, 5000.0, 5000.0
sk_leech_health, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 10.0
sk_leech_dmg_bite, 0.2, 1.0, 2.0, 3.0, 5.0, 25.0, 500.0, 5000.0
sk_controller_health, 6.0, 30.0, 60.0, 80.0, 100.0, 150.0, 200.0, 200.0
sk_controller_dmgzap, 1.5, 7.5, 15.0, 25.0, 35.0, 175.0, 3500.0, 3500.0
sk_controller_speedball,150.0, 450.0, 650.0, 800.0, 1000.0, 1000.0, 1000.0, 2000.0
sk_controller_dmgball, 0.3, 1.5, 3.0, 4.0, 5.0, 25.0, 500.0, 5000.0
sk_nihilanth_health, 800.0, 800.0, 800.0, 900.0, 1000.0, 1000.0, 1000.0, 1000.0
sk_nihilanth_zap, 3.0, 15.0, 30.0, 40.0, 50.0, 250.0, 5000.0, 5000.0
sk_scientist_health, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0
sk_snark_health, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
sk_snark_dmg_bite, 0.5, 2.5, 5.0, 10.0, 10.0, 50.0, 1000.0, 100.0
sk_snark_dmg_pop, 0.5, 2.5, 5.0, 5.0, 5.0, 10.0, 50.0, 100.0
sk_zombie_health, 5.0, 25.0, 50.0, 60.0, 100.0, 150.0, 250.0, 250.0
sk_zombie_dmg_one_slash, 1.0, 5.0, 10.0, 20.0, 25.0, 125.0, 2500.0, 2500.0 
sk_zombie_dmg_both_slash, 2.5, 12.5, 25.0, 40.0, 40.0, 200.0, 4000.0, 4000.0
sk_turret_health, 5.0, 25.0, 50.0, 100.0, 200.0, 300.0, 400.0, 400.0
sk_miniturret_health, 4.0, 20.0, 40.0, 50.0, 80.0, 120.0, 160.0, 160.0
sk_sentry_health, 4.0, 20.0, 40.0, 50.0, 80.0, 120.0, 160.0, 160.0 
sk_plr_crowbar, 150.0, 30.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0
sk_plr_9mm_bullet, 120.0, 24.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0
sk_plr_357_bullet, 500.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
sk_plr_9mmAR_bullet, 80.0, 16.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0
sk_plr_9mmAR_grenade, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
sk_plr_buckshot, 90.0, 18.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0
sk_plr_xbow_bolt_monster, 750.0, 150.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0
sk_plr_rpg, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0
sk_plr_gauss, 190.0, 38.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0
sk_plr_egon_narrow, 10.0, 7.5, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0
sk_plr_egon_wide, 24.0, 18.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0
sk_plr_hand_grenade, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
sk_plr_satchel, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0
sk_plr_tripmine, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0
sk_12mm_bullet, 1.0, 5.0, 10.0, 12.0, 15.0, 75.0, 1500.0, 1500.0
sk_9mmAR_bullet, 0.3, 1.5, 3.0, 4.0, 6.0, 30.0, 600.0, 600.0
sk_9mm_bullet, 0.5, 2.5, 5.0, 6.0, 9.0, 45.0, 900.0, 900.0
sk_hornet_dmg, 0.5, 2.5, 4.0, 7.0, 10.0, 50.0, 1000.0, 1000.0
sk_suitcharger, 10000.0, 10000.0, 10000.0, 1000.0, 100.0, 10.0, 1.0, 0.0
sk_battery, 100.0, 100.0, 50.0, 25.0, 15.0, 10.0, 1.0, 0.0
sk_healthcharger, 10000.0, 10000.0, 10000.0, 10000.0, 1000.0, 100.0, 1.0, 0.0
sk_healthkit, 100.0, 100.0, 100.0, 25.0, 15.0, 10.0, 1.0, 0.0
sk_scientist_heal, 100.0, 100.0, 100.0, 100.0, 50.0, 10.0, 1.0, -1000.0
sk_monster_head, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
sk_monster_chest, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_monster_stomach, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_monster_arm, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_monster_leg, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_player_head, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_player_chest, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_player_stomach, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_player_arm, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_player_leg, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
